Estado;Município;Unidade de Saúde;Endereço;Contato;CNES
Minas Gerais;Sacramento;Santa Casa de Misericórdia;Praça Conego Hermogenes, 2;(34) 3351-1216;2109034
Minas Gerais;Salinas;Hospital Municipal Dr. Osvaldo Prediliano Santana;Av. Antônio Carlos, 1009 - São Geraldo;(38) 3841-1014;2204649
Minas Gerais;Salto da Divisa;Hospital Senhor do Bonfim;Praça Dr. José Messias da Cunha Peixoto, 34 - Centro;(33) 3725-1311;2139111
Minas Gerais;Santa Fé de Minas;Centro de Saúde José Rodrigues Barbosa;Rua Guanabara, 12 - Centro;(38) 99814-2619;2172682
Minas Gerais;Santa Maria de Itabira;Hospital Padre Estevan;R. Francisco Samuel, 150 - Centro;(31) 3838-1234;2144565
Minas Gerais;Santa Maria do Salto;Unidade Prevenção e Saúde Santa Maria do Salto ESF 02;Rua José Dias Gonçalves, 123 - Planalto;(33) 3727-1448;2119560
Minas Gerais;Santa Maria do Suaçui;Hospital Santa Maria Eterna;Praça Batista Lopes, 40 - Centro;(33) 3431-1259;2103990
Minas Gerais;Santa Vitória;Unidade Mista Jerônimo Teodoro;Av. Joaquim Ribeiro de Gouveia, 1507 - Centro;(34) 3251-8581;2215268
Minas Gerais;Santo Antônio de Jacinto;UBS de Santo Antônio do Jacinto;Rua Beira Rio, 354;(33) 3747-1256;6516556
Minas Gerais;Santo Antônio do Amparo;Hospital Regional São Sebastião;Rua Antero Aguiar, 96 - Centro;(37) 3863-2710;2192128
Minas Gerais;Santo Antônio do Monte;Sta. Casa de Misericórdia;Av. Pres. Tancredo Neves, 175;(37) 3281-8900;2144026
Minas Gerais;São Domingos do Prata;Hosp. Nossa Senhora das Dores;Praça Prisco de Braga, 29 - Centro;(31) 3856-1224;2144573
Minas Gerais;São Francisco;Hospital Brício Dourado;Av. Dom Pedro de Alcantra, 626 - Centro;(38) 3631-1607;2140098
Minas Gerais;São Gonçalo do Sapucaí;Sta. Casa de Misericórdia;R. Dr. Dionísio Azevedo Réis, 348-422 - Centro;(35) 3241-1022;2775913
Minas Gerais;São Gotardo;Pronto Antedimento;Rua Virginia Resende de Jesus, 212;(34) 3671-8241;9383921
Minas Gerais;São João Batista do Glória;Hosp. Mun. Dona Chiquita;R. Porto Alegre, 22 - Centro;(35) 3524-1200;2146517
Minas Gerais;São João da Ponte;Hospital São Geraldo;R. Rufino Cardoso, 381 - Centro;(38) 3234-1100;2119447
Minas Gerais;São João del Rei;UPA São João del Rei;R. Marechal Ciro Espírito Santo Cardoso, 74 - Jardim Central;(32) 3379-1700;6798128
Minas Gerais;São João do Paraíso;Fundação de Saúde São João do Paraíso;Rua Sebastião da Costa Ferreira, s/n;(38) 3832-1125;2795299
Minas Gerais;São João Evangelista;Hospital Municipal de São João Evangelista;Avenida Primeiro de Junho, nº 1404 - Centro;(33) 3412-1224;2102765
Minas Gerais;São João Nepomuceno;Pronto Atendimento Médico;R. Dr. Gouveia, s/n;(32) 3261-2178;2160927
Minas Gerais;São José de Safira;PSF Maria Ribeiro Figueiredo;Rua Senhora Aparecida, 43 - Centro;(33) 99703-1458;5509289
Minas Gerais;São José do Goiabal;Unidade de Pronto Atendimento Jurandir Martins Guimarães;Rua Mário Rolla, 109 - Centro;(31) 3858-5559;6582710
Minas Gerais;São Lourenço;Hospital Fundação Casa de Caridade;Rua Jaime Sotto Mayor, 329;(35) 3339-3200;5330807
Minas Gerais;São Roque de Minas;Hosp. Mun. Santa Marta;Av. Pref. Nilzo de Faria, 490 - Barro Branco;(37) 3433-1593;2147823
Minas Gerais;São Tiago;Hospital São Vicente de Paulo;Avenida Governador Magalhaes Pinto, 85 - Centro;(32) 3376-1232;2123711
Minas Gerais;São Tomas de Aquino;Hospital Nossa Senhora do Sagrado Coração;R. Clemente Santana, 175 - Centro;(35) 3535-1332;6146791
Minas Gerais;São Vicente de Minas;Hospital São Vicente de Paulo;R. São Vicente de Paulo, 232 - Vila Vicentina;(35) 3323-1295;2123231
Minas Gerais;Senador Firmino;Hospital São João de Deus;Rua Pio XII, 15 - Centro;(32) 3536-1234;2760851
Minas Gerais;Serra do Salitre;Hospital Municipal de Serra do Salitre;R. Austrália, 419;(34) 3833-1165;2797364
Minas Gerais;Serro;Casa de Caridade Santa Tereza;Rua Irma Maria Carvalho, 68 - Matozinhos;(38) 3541-1224;2202891
Minas Gerais;Sete Lagoas;Hospital Monsenhor Flávio D'Amato;Av. Raquel Teixeira Viana, 716;(31) 3773-2600;2109867
Minas Gerais;Taiobeiras;Hospital Santo Antônio;Rua Grão Mogol, 194 - Centro;(38) 3845-1311;2098369
Minas Gerais;Teófilo Otoni;Upa;Avenida Getúlio Vargas, 1284 - Centro;(33) 3536-5912;6875343
Minas Gerais;Timóteo;Hospital de Timóteo;Rua José Júlio Lage, s/n - Timirim;(31) 3849-9591;2140217
Minas Gerais;Tiros;Hospital Municipal Conceição Palhares;Av. Antônio Carlos, 372;(34) 3853-1000;2102021
Minas Gerais;Três Corações;Hospital São Sebastião;Rua Pedro Bonésio, 236 - Centro;(35) 3239-3950;2760657
Minas Gerais;Três Marias;Hospital São Francisco;BR-040 - Km 438;(38) 3764-5911;2796112
Minas Gerais;Três Pontas;Pronto Atendimento Municipal;Rua Barão da Boa Esperança, 484 - Catumbi;(35) 3266-5831;2139227
Minas Gerais;Tumiritinga;Centro Municipal de Saude;Praça Tiradentes, nº 58 - Centro;(33) 99819-4370;6650961
Minas Gerais;Tupaciguara;Policlínica Municipal;Av. Jucelino Kubitscheck, 126 - Das Paineiras;(34) 3281-5424;2797542
Minas Gerais;Turmalina;Hospital São Vicente;Rua do Rosário, 440;(38) 3527-1234;2135108
Minas Gerais;Ubá;Hospital Santa Isabel;R. Frei Cornélio, 200 - Laurindo De Castro;(32) 3539-1188;2195437
Minas Gerais;Uberaba;Hospital das Clínicas da Unidade Federal do Triângulo Mineiro;Av. Getulio Guaritá, S/Nº;(34) 3318-5181;2206595
Minas Gerais;Uberlândia;Pronto Socorro da Universidade Federal de Uberlândia;Av. Pará, 1888 - Umuarama;(34) 3218-2290;2146355
Minas Gerais;Unaí;Hospital Municipal Dr. Joaquim Brochado;Av. Castelo Branco, 140;(38) 3677-5066;2760924
Minas Gerais;Urucuia;Hospital Municipal Gricia Lisboa de Rezende;Av. Américo Martins, 45 - Rutilante;(38) 3634-9166;2119501
Minas Gerais;Varginha;Hospital Bom Pastor;R. Pres. Tancredo Neves, 500 - Bom Pastor;(35) 3690-1031;2761092
Minas Gerais;Várzea da Palma;UPA 24 horas;Rua Esmeraldas, 885 - Planalto;(38) 3731-2642;3410587
Minas Gerais;Varzelândia;Fundação Hospitalar Nossa Senhora Aparecida;Rua Feliciano de Carvalho, 91 - Centro;(38) 99176-6206;2104741
Minas Gerais;Vazante;Hospital Municipal Nossa Senhora da Lapa;Rua Dona Isaura, 350;(34) 3813-7300;2118092
Minas Gerais;Viçosa;Hospital São Sebastião;R. José da Cruz Reis - Bela Vista;(31) 3899-5023;2099454
Minas Gerais;Virgem da Lapa;Hospital São Domingos;Praça Minas Gerais, 85 - Novo Horizonte;(33) 3736-1225;2134306
Minas Gerais;Virginópolis;Hospital São José;R. Padre Félix, 46 - Centro;(33) 3416-1244;2144557
Minas Gerais;Virgolândia;Centro de Saúde Edson Lopes;R. Sálvio Clementino, 60 - Virgolandia;(33) 99829-5620;2103303
Minas Gerais;Visconde do Rio Branco;Hospital São João Batista;Praça Jorge Carone Filho, 806 - Centro;(32) 3551-8300;2760843
Pará;Abaetetuba;UPA Porte II Dr. Manoel Antônio Ferreira;Travessa Santos Dumont - s/n - São Lourenço;(91) 3751-2769;9073027
Pará;Abel Figueiredo;Hosp. Municipal de Abel Figueiredo Altair Ataíde Mateus;Travessa Nossa Senhora da Conceição, s/n - Centro;(94) 3342-1122;2329387
Pará;Acará;Hospital Municipal de Acará;Avenida Governador Fernando Guilon, 368 - Alegria;(94) 3342-1122;2329484
Pará;Afuá;Unidade Mista de Afuá;Rua 10 de Novembro, 131 - Centro;(96) 3689-1201;2316048
Pará;Alenquer;Hospital Santo Antônio;Rua Dr. Pedro Vicente, 1146 - Centro;(93) 3526-1242;2331861
Pará;Almerim;Hospital Municipal Monte Dourado;Avenida Beira-Mar, s/n - Centro;(96) 99133-9795;2331470
Pará;Almerim;Hospital Municipal de Almerim;Rua Lameira Bittencourt, 1659 - Bairro do Palhão;Indisponível;2331748
Pará;Altamira;Hospital Municipal São Rafael;Rua 6, 2089 - Mutirão;(93) 99184-2131;2330830
Pará;Altamira;Hospital Geral Público de Castelo dos Sonhos;Avenida José Luiz Trevisan, s/n - Aeroporto;(66) 96921-7466;254460
Pará;Altamira;UPA de Altamira;Travessa Campinas, s/n - Uirapuru;(94) 99192-7059;7898355
Pará;Água Azul do Norte;Hospital Municipal de Água Azul do Norte;Avenida Lago Azul, s/n - Centro;Indisponível;2615738
Pará;Água Azul do Norte;Unidade de Saúde da Família III;Rua Principal, s/n - Zona Rural Colônia Juçara;(94) 99158-0175;2329409
Pará;Água Azul do Norte;Posto de Saúde Velha Canada;Rua Principal, s/n - Zona Rural Colônia Canada;Indisponível;2329441
Pará;Água Azul do Norte;Unidade de Saúde da Família IV;Vila Paraguassu, s/n - Zona Rural;Indisponível;5520282
Pará;Ananindeua;UPA ICUI Daniel Berg;Estrada do Icui Guajara, sem nº - Icui Guajara;Indisponível;7278888
Pará;Ananindeua;UPA 24h - Mariguella;Rua Zumbi Dos Palmares S/N - Aura;(91) 3273-0281;9413073
Pará;Ananindeua;UPA Distrito Dr. Nonato Sanova;Rua Primeira Rural - Distrito Industrial;Indisponível;9466355
Pará;Ananindeua;UPA 24 Horas Tipo III Dom Helder Câmara;Cidade Nova II WE 16 S/N - Coqueiro;Indisponível;7112831
Pará;Ananindeua;Unidade de Pronto Atendimento do Jaderlândia;Rua F, s/n - Atalaia;Indisponível;4706153
Pará;Anajás;Hospital Municípal de Anajás;Rua Barão do Rio Branco, 25 - Centro;(91) 3694-1757;2313049
Pará;Anapú;Hospital Municipal Oscar de Dea;Avenida Bandeirantes, s/n - Novo Panorama;Indisponível;2330938
Pará;Aurora do Pará;Hosp. Municipal de Aurora do Pará;Rua Benedito Almeida, 621 - Aparecida;(91) 3482-1463;5572924
Pará;Augusto Correa;Hospital Maternidade São Miguel;Travessa Manoel Avelino Alves, 285 - Centro;Indisponível;2678578
Pará;Aveiro;Centro de Saúde de Aveiro;Travessa João Paulo II, s/n - Centro;(93) 3505-1227;2332469
Pará;Bagre;Hospital Municipal de Bagre;Avenida Fernando Guilhon, s/n - Centro;(91) 3606-1144;7773250
Pará;Baião;Hosp. Munic. de São Joaquim;Rua Doutor Bena Santana, s/n - Nova São Francisco;(91) 3795-1611;4005732
Pará;Bannach;Hospital Municipal José Vieira dos Santos;Avenida Antônia Soller Bannach, s/n - Centro;(94) 3305-1123;2676001
Pará;Bannach;Hospital Municípal Wandick Gutierrez;Travessa Santo Antônio, 356 - Centro;(91) 3753-2921;2314037
Pará;Barcarena;Complexo Municipal De Saude Raimundo Santana Ribeiro;Av. Santarem, S/N - Vila do Conde;(91) 99373-5058;4423402
Pará;Barcarena;Unidade de Pronto Atendimento 24h;Rua Cônego Batista Campos, s/n - Pioneiro;(91) 3754-2261;7986815
Pará;Belém;Hosp. do Pronto Socorro Municipal Dr. Humberto Maradei Pereira;Passagem São Miguel, 100 - Guamá;(91) 3219-5205;2694778
Pará;Belém;Hosp. do Pronto Socorro Municipal Mario Pinotti;Travessa 14 de Março, 500 - Umarizal;(91) 3241-3292;2337339
Pará;Belém;Hospital Abelardo Santos;Travessa Itaboraí, 110 - Cruzeiro;(91) 3267-2922;2695251
Pará;Belém;Unidade Mista de Mosqueiro;Rua 15 de Novembro, s/n - Mosqueiro;(91) 3771-1229;4005759
Pará;Belterra;Hospital Municipal Dr. Ivaldo Moraes;Estrada I, 01 - Centro;(91) 3765-1466;3738698
Pará;Benevides;USF Paraíso Murinin Urgência e Emergência;Av. Martinho Monteiro, 1057 - Benfica;(91) 98173-0635;823465
Pará;Bom Jesus do Tocantins;Hospital Municipal de Bom Jesus do Tocantins;Rua Expedito Nogueira, s/n - Laranjeiras;(94) 3341-1125;2678624
Pará;Bragança;Hosp. Geral de Bragança;Avenida Nazareno Ferreira, 500 - Centro;(91) 3425-2162;2678756
Pará;Bragança;Hosp. Santo Antônio Maria Zaccaria;Avenida Nazareno Ferreira, s/n - Padre Luiz;(91) 3425-2113;2678403
Pará;Brasil Novo;Hospital Municipal Maria José Biancardi;Travessa 28 de Abril, s/n - Centro;Indisponível;9031103
Pará;Brejo Grande do Araguaia;Hospital Municipal de Brejo Grande do Araguaia;Travessa Moacir Fernandes de Sousa, s/n - Centro;(94) 3337-1145;2312166
Pará;Breves;Unidade de Pronto Atendimento de Breves;Avenida Castilho França, s/n - Riacho Doce;(91) 3783-1242;7861079
Pará;Bujaru;Hospital São Lucas;Rua São Joaquim, 100 - Centro;(91) 3746-1388;2675951
Pará;Cachoeira do Arari;Unidade Mista de Cachoeira do Arari;Praça da Matriz, s/n - Centro;Indisponível;2316234
Pará;Cametá;UPA 24h Dr. Haroldo Martins;Avenida Santos Dumont, 1404 - Novo;(91) 3781-2254;2313367
Pará;Cametá;Hosp. Regional de Cametá;Praça Padre Prudêncio, 3404 - Centro;(91) 3781-1243;2418665
Pará;Canaã dos Carajás;Hospital e Maternidade Santa Luiza de Marillac;Avenida JK, s/n - Centro;(94) 3358-1671;2677563
Pará;Capanema;UPA de Capanema Josué Rodrigues Martins;Rua Laudelino Valente, s/n - São Cristovão;Indisponível;6947077
Pará;Castanhal;UPA porte III 24 HORAS Governador Almir Gabriel;BR 316, s/n - Bairro do Cristo;Indisponível;7474423
Pará;Castanhal;Hospital Municipal de Castanhal;Rua Major Wilson, s/n - Nova Olinda;Indisponível;2674769
Pará;Chaves;Unidade Mista de Chaves;Travessa Chermon Júnior, 77 - Centro;(96) 99115-9084;2316080
Pará;Colares;Unidade Mista de Saúde de Colares;Avenida XV de Novembro, 360 - Centro;Indisponível;2314312
Pará;Conceição do Araguaia;Hospital Regional de Conceição do Araguaia;Travessa Pará, 840 - Centro;(94) 3421-1165;2328992
Pará;Concórdia do Pará;Hospital e Maternidade João Lins de Oliveira;Avenida Presidente Vargas, 1047 - Centro;Indisponível;2622319
Pará;Curionopolis;Hospital e Maternidade Elcione Barbalho;Rua Jacarandá, 49 - Centro;(94) 3348-1042;2312158
Pará;Curralinho;Hospital Municipal de Curralinho;Avenida Jarbas Passarinho, s/n - Centro;(91) 3633-1134;2615843
Pará;Cumaru do Norte;Hosp. Municipal João Vieira da Cunha;Avenida das Nações, s/n - Centro;(94) 99139-6151;2318059
Pará;Curuá;Centro de Saúde Dr. Almir Gabriel;Avenida 7 de Setembro, s/n - Planalto;(93) 3563-1259;2331845
Pará;Curuçá;Hosp. Munic. de Curuçá Henrique Alves;Avenida General Deodoro, s/n - Centro;(91) 99368-8707;2311992
Pará;Dom Eliseu;Hospital das Clínicas de Dom Eliseu;Rua Pernambuco, 182 - Flor do Ipê;(94) 3335-1269;2677598
Pará;Eldorado dos Carajás;Hospital Municipal de Eldorado dos Carajás;Avenida Oziel Carneiro, s/n - Eldorado KM 02;(94) 98175-8668;3003469
Pará;Faro;Unidade Mista de Faro;Avenida Independência, s/n - Campina;(93) 99101-4350;2331500
Pará;Floresta do Araguaia;Hospital Municipal de Floresta do Araguaia;Rua 03, 803 - Centro;(94) 98170-2332;2418673
Pará;Garrafão do Norte;Hospital e Maternidade Manoel Gonçalves Eufrasio;Travessa Luiz Uchoa, s/n - Pedrinhas;Indisponível;9601503
Pará;Goianésia;Hosp. Municipal de Goianésia;Rua Tiradentes, 66 - Centro;(94) 99110-1640;2312174
Pará;Gurupá;Hospital Municipal de Gurupá Jaime Abenathar;Travessa Antonia Neves, s/n - Centro;(91) 98036-5727;2313057
Pará;Igarapé-Açu;Hospital Municipal de Igarapé-Açu;Avenida Barão do Rio Branco, s/n - Centro;(91) 98170-1618;2804638
Pará;Igarapé-Miri;Hospital e Maternidade Santana;Rodovia PA 151 Açai Lar S/N - Marombinha;(91) 3755-1514;2317397
Pará;Inhangapi;Hospital Municipal de Inhangapi;Rua Professor Encarnação, 455 - Centro;(91) 98422-7543;2317931
Pará;Ipixuna;Hospital Santa Clara;Rua Ulisses Guimarães, s/n - Centro;(91) 3811-2123;2616483
Pará;Irituia;Hospital Municipal de Irituia;Rua 29 de Dezembro, s/n - Centro;(91) 3444-1171;2330970
Pará;Itaituba;Hosp. Municipal de Itaituba;Rua José Ribeiro dos Santos, s/n - Boa Esperança;(93) 3518-1659;2331098
Pará;Itupiranga;Hosp. Municipal de Itupiranga;Rua São Salvador, s/n - Centro;(93) 3542-1252;2615711
Pará;Jacareacanga;Hosp. Municipal de Jacareacanga;Travessa Santos Dumont, 28 - Centro;Indisponível;2331691
Pará;Jacundá;Hosp. Municipal de Jacundá Maria Cecilia;Rua Jatobal, s/n - Centro;(94) 3345-1041;2312050
Pará;Juruti;Hospital Municipal de Juruti Francisco Rodrigues Barros;Travessa Dário Rodrigues de Souza, s/n - Bom Pastor;(93) 3536-1211;2316757
Pará;Limoeiro do Ajuru;Hospital Municipal Dr. Cruz Moreira;Rua Conceição, 32 - Centro;(91) 3636-1106;2772329
Pará;Marituba;Hospital de Urgencia e Emergencia Augusto Chaves;Rodovia BR-316, Km 12 S/N - Centro;(91) 98523-7827;2316471
Pará;Marituba;UPA Eládio Soares;Rodovia BR 316 S/N - Almir Gabriel;(91) 98621-1978;9271120
Pará;Mãe do Rio;Hospital Municipal Dr. Silas Freitas;Rua Voluntários da Pátria, 391 - São Sebastião;(91) 3444-1488;2677407
Pará;Magalhães Barata;Centro de Saúde Magalhães Barata;Narcisa Gomes, s/n - Centro;(91) 98501-8996;2317532
Pará;Marabá;Hospital Municipal de Marabá;Folha 17 Quadra Especial, s/n - Nova Marabá;(94) 3322-2110;2615797
Pará;Maracanã;Hospital Municipal de Maracanã;Avenida Magalhães Barata, 2210 - Centro;(91) 99915-2588;2793903
Pará;Marapanim;Unidade Mista Municipal de Marapanim;Rua Magalhães Barata, s/n - Centro;(91) 99108-3403;2621584
Pará;Medicilândia;Hospital Municipal de Medicilândia;Travessa Cassandro Silvério, 1014 - Centro;(93) 3531-1224;2622475
Pará;Melgaço;Hospital Municipal de Melgaço;Rua Wilson Ribeiro, s/n - Centro;(91) 3637-1309;6559476
Pará;Mocajuba;Hosp. Municipal Maria do Carmo Gomes;Travessa Miguel Dias de Almeida, s/n - Caixa D'Água;(91) 3661-1517;2677431
Pará;Mojú;Unidade Mista de Saúde de Moju;Rodovia dos Quilombolas, sn - Parolandia II;(91) 3756-1644;2329697
Pará;Monte Alegre;Hosp. Municipal de Monte Alegre;Pas. Tem. Pedro Nunes, 3388 - Serra Ocidente;(93) 3533-1211;2652706
Pará;Mojuí dos Campos;Hospital Municipal de Mojuí dos Campos;Rua Dr. José Ferreira Teixeira, 43 - Centro;Indisponível;0000000
Pará;Muaná;Unidade Mista de Muaná;Rua Dr. José Ferreira Teixeira, 43 - Centro;(91) 3494-1442;2316005
Pará;Nova Esperança do Piriá;Hospital e Maternidade Municipal Ruben Alfredo Tutaya Menese;Rua Marechal Deodoro da Fonseca, s/n - Vila Nova;Indisponível;5968496
Pará;Nova Ipixuna;Hospital Municipal de N. Ipixuna;Rua Cachoeira da Fumaça, s/n - Centro;Indisponível;9154388
Pará;Novo Progresso;Hospital Municipal de Novo Progresso;Rua Juscelino Kubitschek, 98 - Rui Pires de Lima;(93) 3528-2550;2331578
Pará;Novo Repartimento;Hospital Municipal São Francisco;Praça da Bíblia, s/n - Espigão;Indisponível;2312123
Pará;Óbidos;Santa Casa de Misericórdia de Óbidos;Travessa Rui Barbosa, 331 - Centro;(93) 3547-1417;2332299
Pará;Oeiras do Pará;Hospital de Pequeno Porte;Travessa Honório Bastos, 1008 - Santa Maria;(91) 3796-1104;6578373
Pará;Oriximiná;Hospital Municipal de Oriximiná;Rua Barão do Rio Branco, 3288 - Santa Terezinha;(93) 3544-1370;2331969
Pará;Oriximiná;Hospital de Porto Trombetas;Rua Rio Amazonas, s/n - Centro;(93) 99124-9487;6312314
Pará;Ourilândia do Norte;Hospital Municipal Jadson Pescone;Rua Ceará, s/n - Asevec;(94) 99257-9309;2322935
Pará;Ourilândia do Norte;Hospital Santa Lucia;Avenida das Nações, 1736 - Centro;(94) 99179-9571;2318865
Pará;Ourém;Hospital Municipal Luis Carlos de Souza;Rua Luiz de Moua, 365 - Centro;(91) 3467-1121;2314819
Pará;Pacajá;Unidade Mista de Pacajá;Avenida Marechal Castelo Branco, s/n - Centro;(91) 3798-1499;2616211
Pará;Palestina do Pará;Hospital Municipal José Homobono Paes Andrade;Avenida 15, s/n - Cidade Nova;(94) 99212-9716;2312182
Pará;Paragominas;UPA Paragominas Solange Maria do Nascimento Melo;Rua Menestrite, 01 - Uraim;(91) 3729-8058;7117086
Pará;Parauapebas;Hospital Municipal de Parauapebas Manoel Evaldo Benevides Alves;Rua A, Quadra 07, Lote Especial, s/n - Cidade Nova;(94) 3346-1020;2615746
Pará;Parauapebas;Unidade de Pronto Atendimento Cidade Jardim;Rua Buritis Quadra Institucional, 336 - Cidade Jardim;(94) 3346-2852;7904864
Pará;Parauapebas;Hospital Yutaka Takeda;Avenida Carajás, s/n - Núcleo Urbano de Carajás;(94) 3352-4624;2673886
Pará;Pau D'arco;Hospital Municipal Enfermeira Antônia Pinheiro Cavalcante;Rua Vivaldo Lima Nunes, s/n - Setor Paraíso;(94) 99127-9554;2615991
Pará;Placas;Hospital Municipal de Placas;Travessa Olivio Alves, s/n - Centro;(93) 3534-1127;3654796
Pará;Prainha;Hospital Wilson Ribeiro;Prainha;Indisponível;2331756
Pará;Piçarras;Unidade Mista de Saúde de Piçarras;Rua João Abreu Angel, 00 - Brasil Novo;(94) 3422-1190;2622491
Pará;Ponta de Pedras;Unidade Mista de Ponta de Pedras;Avenida Raimundo Malato, 85 - Campinho;(91) 3777-1420;2316013
Pará;Porto de Moz;Hospital Municipal Ana Nery;Rua da República, 1780 - Centro;(93) 99130-8303;2711184
Pará;Quatipuru;Unidade Mista/Ubs;Rua Bernadino Gomes;(91) 98415-5649;2677024
Pará;Redenção;Hospital Regional Araguaia;Avenida Brasil, 4244 - Park dos Buritis;(94) 3424-9500;5498465
Pará;Redenção;Hospital Municipal Dr. Pedro Paulo Barcauí;Avenida Belo Horizonte, s/n - Capuava;(94) 3424-0203;2504901
Pará;Redenção;Hospital Particular São Vicente;Rua Dr. Pedro Paulo Barcauí, 362 - Vila Paulista;(94) 3424-8955;2316661
Pará;Redenção;Hospital Santa Monica;Rua São Félix do Xingu, 744 - Morada da Paz;(94) 99152-0989;3185591
Pará;Rio Maria;Hospital Municipal de Rio Maria;Avenida 08, 341 - Setor Remor;(94) 99124-7675;2317990
Pará;Rondon do Pará;Hosp. Municipal de Rondon do Pará;Rua Lauro Sodré, 235 - Centro;(94) 3326-1369;2312131
Pará;Rurópolis;Hospital Municipal de Rurópolis;Dr. Oswaldo Cruz entre Av. Pres. Médici e Av. Brasil, 80 - Centro;(93) 3543-1688;2331292
Pará;Salinópolis;Hosp. Reg. Dr. Olimpio Cardoso da Silveira;Avenida Dr. Miguel de Santa Brígida, s/n - Ponta D'Agulha;(91) 3423-1867;2314819
Pará;Salvaterra;Hospital Municipal de Pequeno Porte Dr. Almir Gabriel;Avenida Nossa Senhora da Conceição, s/n - Centro;(91) 3765-1250;2316064
Pará;Santa Cruz do Arari;Unidade Mista de Santa Cruz do Arari;Rua Victor Moreira, 01 - Centro;(91) 3658-2219;2316161
Pará;Santa Izabel do Pará;Hospital Municipal Dr. Edílson Abreu;Rua João Casa Nova, 2085 - Centro;(91) 3744-1200;9177140
Pará;Santa Maria das Barreiras;Hosp. Mun. de Santa Maria das Barreiras;Avenida Dom Sebastião Tomaz, s/n - Centro;(94) 3319-3152;2333589
Pará;Santa Maria das Barreiras;PSF II Antonio Manoel de Melo;Vila Sawanopolis, s/n - Centro;(94) 3319-1346;3916065
Pará;Santa Maria do Pará;Hospital da Ordem Terceira Unidade de Santa Maria do Pará;Rua Cezarino Doce, 10 - Centro;(91) 3442-1107;2674785
Pará;Santana do Araguaia;Hosp. Municipal de São Francisco de Assis;Avenida Vinicius de Freitas, s/n - Bel Recanto;(94) 3431-2871;2329565
Pará;Santarém;Unidade De Pronto Atendimento Upa 24 horas;Av. Curua-Una, S/N - São José Operário;Indisponível;7530005
Pará;Santarém;Hospital Municipal de Santarém;Avenida Presidente Vargas, 1538 - Santa Clara;(93) 3523-2155;233905
Pará;Santo Antônio do Tauá;Hospital e Maternidade Santo Antônio;Rua Francisco Rodrigues, 468 - Moraizao;(91) 3775-1794;2314436
Pará;São Caetano de Odivelas;Unidade Mista de São Caetano de Odivelas;Travessa Fernando Guilhon, s/n - Pepeua;Indisponível;3542017
Pará;São Domingos do Araguaia;Hospital Municipal de São Domingos do Araguaia;Rua Jerusalém, s/n - Novo São Domingos;(94) 3332-1060;2312298
Pará;São Felix do Xingu;Hospital Municipal Orzeu Jonas Guida;Avenida Antonio Marques Ribeiro, 1900 - Centro;(94) 98148-9121;2694891
Pará;São Felix do Xingu;Unidade Municipal Materno Infantil N. S. das Mercês;Avenida Antonio Marques Ribeiro, 1900 (anexo) - Centro;(94) 3435-1579;2694530
Pará;São Felix do Xingu;UPA 24h Xingu;Avenida Rio Xingu, s/n - Centro;(94) 98144-3778;9251170
Pará;São Domingos do Capim;Hosp. Municipal São Domingos do Capim;Rua Antonio Correia de Melo, 56 - Centro;(91) 98292-3779;2317958
Pará;São Geraldo do Araguaia;Hospital Municipal de São Geraldo do Araguaia;Avenida Mogno, 642 - Centro;(94) 98120-7673;2333430
Pará;São João da Ponta;Centro de Saúde Especial de São João da Ponta;Travessa 27 de Setembro, s/n - Centro;(91) 98461-0546;2312026
Pará;São João de Pirabas;HOSPITAL MUNICIPAL BOSCO MOISÉS;Avenida São Pedro, s/n - Colina;(91) 98508-6257;2676125
Pará;São João do Araguaia;Hospital Municipal Mário Martins;Rodovia Pedro Carneiro, s/n - Novo São João;(94) 3778-1329;2312387
Pará;São Miguel do Guamá;Hospital Municipal de São Miguel do Guamá;Avenida Américo Lopes, 262 - São Manoel;(91) 3446-2876;2676192
Pará;São Sebastião da Boa Vista;Unidade Mista de São Sebastião Boa Vista;Avenida das Acácias, s/n - Centro;(91) 3764-1534;2316021
Pará;Senador José Porfírio;Hospital Municipal de Senador José Porfirio;Rua 7 de Setembro, s/n - Centro;(91) 3556-1388;2330946
Pará;Soure;Hosp. Municipal Menino Deus;8ª Rua, s/n - Matinha;(91) 3741-1425;2316552
Pará;Tailândia;Hospital Geral de Tailândia;Av. Florianopolis S/N - Bairro Novo;(91) 3752-2131;6779069
Pará;Terra Santa;Hospital Municipal Frei Eliseu Eismann;Terra Santa;Indisponível;2619946
Pará;Tomé-Açu;Hospital Municipal de Tomé-Açu;Avenida Dionísio Bentes PA-140, s/n - Centro;(91) 3734-1234;2360411
Pará;Tracuateua;Hospital Municipal de Tracuateua;Avenida Bragança, s/n - Nova Esperança;(91) 98511-1813;6425542
Pará;Tucumã;Hospital Municipal Maternidade N. S. de Nazaré;Avenida Brasil, 1374 - Centro;(94) 3433-1270;2318180
Pará;Quatipuru;Unidade Mista/UBS;Rua Bernadino Gomes;(91) 98415-5649;2677024
Pará;Ulianópolis;Hospital Municipal de Ulianopolis;Rua Bahia, s/n - Caminho das Árvores;(91) 98136-6525;2317028
Pará;Uruará;Hospital Municipal de Uruará;Avenida Pará, 268 - Centro;(93) 3532-1366;2537028
Pará;Vigia;Hospital Municipal de Vigia;Avenida Barão de Guajará, s/n - Castanheira;(91) 3731-1248;2314002
